id,x,y,count
99,554.3051438691169,-878.1167924733584,161
99,563.7383896650002,-865.9883335929369,161
100,637.8567494897978,-921.2402018259677,702
100,597.4285532217264,-899.6784971496631,702
101,597.4285532217264,-899.6784971496631,710
101,554.3051438691169,-878.1167924733584,710
102,554.3051438691169,-878.1167924733584,668
102,350.8165559864908,-781.0891214299868,668
103,597.4285532217264,-899.6784971496631,85
103,623.0330775248383,-857.9026943393226,85
104,623.0330775248383,-857.9026943393226,164
104,662.1136672506407,-879.4643990156274,164
105,662.1136672506407,-879.4643990156274,1890
105,637.8567494897978,-921.2402018259677,1890
106,623.0330775248383,-857.9026943393226,108
106,645.942388743412,-826.9077438671345,108
107,645.942388743412,-826.9077438671345,1
107,687.7181915537525,-852.5122681702464,1
108,687.7181915537525,-852.5122681702464,1803
108,662.1136672506407,-879.4643990156274,1803
109,645.942388743412,-826.9077438671345,80
109,667.5040934197168,-798.6080064794846,80
110,667.5040934197168,-798.6080064794846,1038
110,702.541863518712,-824.2125307825966,1038
111,702.541863518712,-824.2125307825966,1775
111,687.7181915537525,-852.5122681702464,1775
112,667.5040934197168,-798.6080064794846,1083
112,691.7610111805596,-759.5274167536822,1083
113,702.541863518712,-824.2125307825966,708
113,736.2320270754383,-782.436727972256,708
114,660.7660607083716,-740.6609251619155,822
114,691.7610111805596,-759.5274167536822,822
115,691.7610111805596,-759.5274167536822,182
115,736.2320270754383,-782.436727972256,182
116,691.7610111805596,-759.5274167536822,642
116,717.3655354836716,-721.7944335701488,642
117,736.2320270754383,-782.436727972256,555
117,760.4889448362811,-748.7465644155299,555
118,717.3655354836716,-721.7944335701488,6
118,760.4889448362811,-748.7465644155299,6
119,717.3655354836716,-721.7944335701488,573
119,740.2748467022453,-692.1470896402299,573
120,760.4889448362811,-748.7465644155299,476
120,782.0506495125859,-719.0992204856109,476
121,740.2748467022453,-692.1470896402299,17
121,782.0506495125859,-719.0992204856109,17
122,740.2748467022453,-692.1470896402299,505
122,760.4889448362811,-658.4569260835037,505
123,760.4889448362811,-658.4569260835037,1
123,803.6123541888905,-686.7566634711536,1
124,803.6123541888905,-686.7566634711536,388
124,782.0506495125859,-719.0992204856109,388
125,760.4889448362811,-658.4569260835037,427
125,787.441075681662,-628.8095821535846,427
126,787.441075681662,-628.8095821535846,120
126,825.1740588651953,-651.7188933721584,120
127,825.1740588651953,-651.7188933721584,310
127,803.6123541888905,-686.7566634711536,310
128,787.441075681662,-628.8095821535846,338
128,807.6551738156977,-600.5098447659346,338
129,807.6551738156977,-600.5098447659346,14
129,848.0833700837692,-626.1143690690466,14
130,848.0833700837692,-626.1143690690466,251
130,825.1740588651953,-651.7188933721584,251
131,807.6551738156977,-600.5098447659346,273
131,830.5644850342716,-565.4720746669394,273
132,848.0833700837692,-626.1143690690466,168
132,873.687894386881,-591.0765989700514,168
133,873.687894386881,-591.0765989700514,32
133,830.5644850342716,-565.4720746669394,32
134,830.5644850342716,-565.4720746669394,234
134,705.2370766032501,-492.7013213844109,234
135,705.2370766032501,-492.7013213844109,169
135,605.5141924753407,-485.9632886730657,169
136,605.5141924753407,-485.9632886730657,108
136,469.40593170616694,-498.0917475534871,108
137,469.40593170616694,-498.0917475534871,252
137,449.19183357213126,-503.4821737225633,252
138,449.19183357213126,-503.4821737225633,417
138,474.7963578752431,-600.5098447659346,417
139,449.19183357213126,-503.4821737225633,268
139,427.6301288958265,-506.17738680710136,268
140,427.6301288958265,-506.17738680710136,120
140,428.97773543809546,-554.691222328787,120
141,428.97773543809546,-554.691222328787,151
141,341.38331019060746,-566.8196812092085,151
142,341.38331019060746,-566.8196812092085,299
142,350.81655598649076,-623.4191559845085,299
143,341.38331019060746,-566.8196812092085,101
143,244.35563914723605,-570.8625008360157,101
144,427.6301288958265,-506.17738680710136,111
144,404.7208176772527,-340.42178210800864,111
145,404.7208176772527,-340.42178210800864,12
145,439.7585877762479,-322.90289705851103,12
146,439.7585877762479,-322.90289705851103,89
146,469.40593170616694,-498.0917475534871,89
147,873.687894386881,-591.0765989700514,101
147,919.5065168240287,-518.3058456875228,101
148,736.2320270754383,-782.436727972256,392
148,818.4360261538501,-817.474498071251,392
149,818.4360261538501,-817.474498071251,297
149,889.8591728941096,-832.2981700362105,297
150,889.8591728941096,-832.2981700362105,200
150,1001.7105159024404,-887.5500382692414,200
151,1001.7105159024404,-887.5500382692414,101
151,1059.6575972200094,-941.4542999600033,101
